Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastQC | 13	90.84402677000028	41.0	133.9629985480567	9.090909090909092	5908633.0
fastQC | 130	86.74720122548919	58.0	133.4443503120562	9.090909090909092	5225501.0
fastQC | 131	60.56098842408758	46.0	133.8466210709828	9.090909090909092	969390.0
fastQC | 132	88.61006570930005	49.0	134.13271086730634	9.090909090909092	3194177.0
fastQC | 133	89.32453100821805	50.0	135.76758616986658	18.181818181818183	3370987.0
fastQC | 134	89.061993391792	55.0	134.48647808087225	9.090909090909092	3903440.0
fastQC | 135	89.24046219425367	50.0	134.1713740683857	9.090909090909092	3887070.0
fastQC | 136	87.65390810052962	52.0	134.3234346094293	18.181818181818183	2718970.0
fastQC | 137	59.91911348528302	48.0	133.50955151978403	18.181818181818183	821597.0
fastQC | 138	87.91703175847697	52.0	134.48888496496963	18.181818181818183	3018524.0
fastQC | 139	76.3730477720172	49.0	133.74571325044516	9.090909090909092	3030268.0
fastQC | 14	67.01283957713886	42.0	134.44671289628695	9.090909090909092	1350505.0
fastQC | 140	75.50525292177286	50.0	133.33326285007132	18.181818181818183	2501776.0
fastQC | 141	75.79845480656856	49.0	133.69436363187484	9.090909090909092	2511298.0
fastQC | 142	76.18596403066111	50.0	133.8061145890701	18.181818181818183	2669190.0
fastQC | 143	80.25751050783629	46.0	133.42030259903783	9.090909090909092	2438210.0
fastQC | 144	76.08310157699705	49.0	133.5255036104549	18.181818181818183	2239330.0
fastQC | 145	77.38114045596211	49.0	133.41062158283094	18.181818181818183	4295405.0
fastQC | 146	76.27460724977846	52.0	133.59566700399873	18.181818181818183	3147245.0
fastQC | 147	87.13450401126434	56.0	135.17376293608436	18.181818181818183	2458240.0
fastQC | 148	86.70091577262778	55.0	135.4177994403568	18.181818181818183	2785346.0
fastQC | 149	85.53573440957967	55.0	134.78918111123497	18.181818181818183	1991406.0
fastQC | 15	88.12062637412416	47.0	135.4866599671138	9.090909090909092	2877804.0
fastQC | 150	86.98872328806931	53.0	134.9573156176381	18.181818181818183	2622458.0
fastQC | 151	90.30991747623665	55.0	134.58211527198543	18.181818181818183	1272035.0
fastQC | 152	86.56423760210872	52.0	135.38154708262115	18.181818181818183	2554382.0
fastQC | 153	88.54560712682718	53.0	135.20435759019148	18.181818181818183	4298798.0
fastQC | 154	68.5420592269091	58.0	135.06074797675907	18.181818181818183	1044364.0
fastQC | 155	87.89455446022606	47.0	134.53332866303708	9.090909090909092	2869197.0
fastQC | 156	85.11484723922914	55.0	134.17537693068422	9.090909090909092	2107284.0
fastQC | 157	88.26239324592225	46.0	133.94500899889036	9.090909090909092	2955920.0
fastQC | 158	88.44715429433849	44.0	134.31445088817955	9.090909090909092	2790652.0
fastQC | 159	88.14514861472483	47.0	134.20286294316796	9.090909090909092	3001317.0
fastQC | 16	89.5894641706267	43.0	134.53575403272907	9.090909090909092	3766680.0
fastQC | 160	92.78865666160641	45.0	134.2372463570958	9.090909090909092	2587496.0
fastQC | 161	88.39976348338071	48.0	134.97502635597252	9.090909090909092	2986989.0
fastQC | 162	92.86052906752603	44.0	134.27692278707752	9.090909090909092	2070068.0
fastQC | 163	89.78738466175633	46.0	134.8708944858565	9.090909090909092	6964962.0
fastQC | 164	87.956618170592	46.0	134.99493248309656	9.090909090909092	5267866.0
fastQC | 165	87.97632439838729	47.0	134.59284514194982	9.090909090909092	5807299.0
fastQC | 166	92.11157633487754	47.0	135.5310448145686	9.090909090909092	19308297.0
fastQC | 167	90.11935427531935	46.0	134.69891939746321	9.090909090909092	6060045.0
fastQC | 168	89.02603906770129	48.0	135.08819074767092	9.090909090909092	6046564.0
fastQC | 169	89.9426504258124	45.0	133.99361025911014	9.090909090909092	5945155.0
fastQC | 17	88.25042740216493	59.0	134.11819069653853	18.181818181818183	4147983.0
fastQC | 170	89.58492480812872	46.0	134.64156804347755	9.090909090909092	5787263.0
fastQC | 171	79.97845206865414	48.0	135.517503390425	18.181818181818183	1750518.0
fastQC | 172	87.20604198509005	46.0	133.80732779300195	9.090909090909092	5410988.0
fastQC | 173	89.78917687069635	45.0	134.2872980102087	9.090909090909092	4065552.0
fastQC | 174	86.82995246023467	50.0	135.3211807373784	18.181818181818183	6292373.0
fastQC | 175	89.00927942360786	44.0	134.30102909426947	9.090909090909092	3417374.0
fastQC | 176	88.82066742724922	42.0	133.7629817555869	9.090909090909092	4996050.0
fastQC | 177	85.97433924187612	47.0	135.1575472822545	9.090909090909092	3658032.0
fastQC | 178	78.04247106673992	43.0	134.3170288429731	9.090909090909092	2300491.0
fastQC | 179	83.7550757768617	55.0	135.10457566640682	18.181818181818183	2104983.0
fastQC | 18	88.67631155057224	55.0	133.52975388800502	9.090909090909092	8240923.0
fastQC | 180	83.76598240890809	53.0	134.78430493117932	9.090909090909092	2305412.0
fastQC | 181	83.58099688463439	51.0	134.72666403699688	18.181818181818183	2086447.0
fastQC | 182	89.01991709948209	50.0	135.45734213775037	18.181818181818183	3291984.0
fastQC | 183	85.42293628437727	56.0	134.3031519015061	18.181818181818183	2054950.0
fastQC | 184	83.65678418296689	54.0	134.88213612397848	18.181818181818183	2149276.0
fastQC | 185	87.96802155804654	52.0	135.3187759975704	9.090909090909092	2940419.0
fastQC | 186	84.68547053468913	53.0	134.75204721130123	9.090909090909092	3306327.0
fastQC | 187	89.58538367430657	47.0	133.7943587756764	9.090909090909092	1925504.0
fastQC | 188	86.44330520171926	47.0	134.11231559951938	9.090909090909092	1999927.0
fastQC | 189	86.37266991960644	49.0	134.18835956758232	9.090909090909092	2022674.0
fastQC | 19	87.60876939861794	57.0	134.68718741919093	9.090909090909092	5425597.0
fastQC | 190	86.20198776885272	47.0	134.2167667876724	9.090909090909092	2200171.0
fastQC | 191	87.04992662688859	46.0	134.0460159363285	9.090909090909092	2709909.0
fastQC | 192	88.23735259381638	45.0	133.77769827052623	9.090909090909092	1221412.0
fastQC | 193	90.02737321800555	46.0	134.4304993428395	9.090909090909092	1916579.0
fastQC | 194	84.68377346092646	48.0	133.5538840026862	9.090909090909092	1844991.0
fastQC | 195	87.04930825960099	45.0	133.9019820133935	9.090909090909092	2317391.0
fastQC | 196	89.10634645579466	45.0	134.13583478492583	9.090909090909092	3501327.0
fastQC | 197	88.78459264192867	47.0	135.4589684669815	9.090909090909092	3268669.0
fastQC | 198	88.69976961674651	46.0	134.98247858747843	9.090909090909092	4093049.0
fastQC | 199	88.57070493703411	46.0	134.36389307121516	9.090909090909092	3856174.0
fastQC | 2	79.38334274308176	56.0	132.18893152216478	9.090909090909092	722701.0
fastQC | 20	88.64311661869404	49.0	135.0340086421777	18.181818181818183	7149124.0
fastQC | 200	89.99446242960342	43.0	134.17008698607643	9.090909090909092	3754279.0
fastQC | 201	84.80595451833531	48.0	134.4571765372659	9.090909090909092	2826593.0
fastQC | 202	89.0350544740149	45.0	134.7136272589513	9.090909090909092	3248078.0
fastQC | 203	86.949009855799	50.0	134.72153395166336	9.090909090909092	2454784.0
fastQC | 204	91.23477180013239	51.0	134.55687001123823	18.181818181818183	1735150.0
fastQC | 205	91.84603577884056	49.0	134.54354009971433	9.090909090909092	1495472.0
fastQC | 206	89.10046031963239	49.0	135.14223042077242	9.090909090909092	3211950.0
fastQC | 207	92.92950658029164	47.0	134.65689219705408	9.090909090909092	2048534.0
fastQC | 208	89.21499381677428	53.0	134.63083549010943	18.181818181818183	3833654.0
fastQC | 209	90.54635531262639	49.0	135.1943322536912	9.090909090909092	1200089.0
fastQC | 21	88.16362999635103	58.0	133.35551714592316	9.090909090909092	5704009.0
fastQC | 210	92.89392926214673	50.0	134.1695675614162	18.181818181818183	2275907.0
fastQC | 211	89.82135607832323	49.0	135.29720622129133	9.090909090909092	3708812.0
fastQC | 212	71.89536086059603	52.0	135.12123238616576	18.181818181818183	1369733.0
fastQC | 213	87.10906872169947	53.0	135.25647204387815	18.181818181818183	2419792.0
fastQC | 214	74.01076712897436	49.0	135.42464498368287	9.090909090909092	1612109.0
fastQC | 215	89.84644265825268	49.0	134.99391050621952	9.090909090909092	4775438.0
fastQC | 216	71.33876613301277	50.0	135.61279526838473	18.181818181818183	1283959.0
fastQC | 217	90.68475946339822	50.0	134.6287301656757	9.090909090909092	7473093.0
fastQC | 218	90.01655144749786	51.0	134.6118141934084	9.090909090909092	5420023.0
fastQC | 219	87.5515744039592	44.0	133.78245945676167	9.090909090909092	5660315.0
fastQC | 22	88.83713777987312	56.0	134.70678677894705	9.090909090909092	8687538.0
fastQC | 220	86.69751228722615	45.0	132.75089676059483	9.090909090909092	5132362.0
