fastQC | 107	74.0	73.0	77.5	91.5	102.0	101.5	114.5	147.0	182.0	226.0	274.5	325.0	369.5	433.0	545.5	666.0	839.5	1068.5	1367.0	1691.5	2147.0	2815.5	3636.5	4699.0	6132.5	7690.0	9445.5	11578.5	14008.0	16203.0	18529.5	21222.0	23815.5	26131.5	28099.5	29852.0	31173.0	32526.5	33996.5	35463.5	36848.0	37860.0	38422.5	38700.0	38630.5	37379.5	35363.5	33277.0	31161.0	28909.0	26878.5	25259.5	23717.5	22646.0	21585.0	20457.5	19834.0	19370.0	19070.5	18940.0	18975.5	19284.5	19719.5	19799.5	19877.0	20668.5	21547.5	21772.5	21752.5	21860.5	21703.5	21003.0	19837.5	18211.5	16141.0	14033.0	11791.0	9397.5	7155.5	5295.0	3801.0	2568.5	1624.5	1012.0	604.0	355.5	227.5	162.5	119.0	93.0	65.0	44.5	38.5	35.0	28.5	25.0	24.5	24.5	20.0	15.5	16.5
fastQC | 108	314.0	315.5	349.0	380.5	400.5	462.5	560.0	690.5	848.0	1003.5	1162.5	1426.5	1712.5	2082.0	2555.5	3111.5	3796.0	4964.5	6622.5	8337.0	11304.5	15609.5	20716.5	27104.5	34891.5	44064.0	53963.0	66058.0	79667.5	94010.5	109119.0	123922.0	137540.0	151562.0	166719.0	179885.5	193658.0	207278.5	219167.5	231440.0	245365.0	261801.5	280350.0	294232.0	304857.0	312250.5	311419.0	307276.5	302559.5	298270.5	296324.0	294441.5	290204.5	284921.5	279770.5	273715.5	267809.5	261727.5	254991.0	251471.5	245558.5	238945.0	233846.5	227985.0	220045.5	210688.5	206392.0	202424.5	194098.5	183157.0	171212.0	156988.5	140483.0	124294.5	108296.5	93053.0	76103.0	59823.5	47008.0	35835.5	26178.5	18045.0	11694.5	7329.5	4702.0	2956.0	2064.5	1586.0	1171.0	855.5	665.5	552.5	478.5	370.5	262.5	209.0	181.5	178.0	158.5	117.0	109.0
fastQC | 109	9.0	7.5	8.5	13.5	20.5	25.5	24.5	27.0	34.5	39.0	43.0	54.5	67.5	80.5	98.0	102.5	112.0	133.5	165.5	198.5	233.0	292.0	357.5	526.5	666.0	715.0	833.0	1137.0	1435.5	1538.0	1691.5	2126.5	2595.5	3015.0	3382.5	3911.0	4761.5	5274.5	6004.0	7078.5	8257.0	9738.0	11286.5	13021.0	14943.0	17055.0	19817.5	23205.5	26657.5	31146.0	35450.0	38999.0	43873.5	50557.0	56802.0	61523.5	66109.5	68506.0	69287.0	70448.5	69173.5	66358.0	64459.5	61554.5	57006.0	51597.5	46969.5	43175.5	39135.0	35510.5	32438.5	29905.5	26941.5	23440.5	21237.0	18976.5	15592.0	12270.0	9055.5	6645.0	4708.5	3031.0	1955.5	1115.5	636.0	403.5	259.5	206.0	160.0	120.5	95.0	74.5	68.0	49.5	28.0	17.5	12.0	11.5	8.0	5.0	8.0
fastQC | 11	186.0	165.5	146.5	149.5	165.0	193.5	226.5	269.0	341.0	410.5	463.5	543.0	712.5	887.5	1034.5	1189.0	1448.0	1908.5	2546.0	3328.0	4330.5	5678.5	7239.5	9094.5	11351.0	13601.0	16626.5	20511.5	24103.0	27921.0	31876.0	35358.5	38676.0	42053.5	45320.0	48542.0	50177.0	51595.0	53914.0	55240.5	55645.5	57334.0	59196.0	59772.0	58932.0	56931.0	53139.0	47407.5	43257.5	39242.0	34442.0	29825.5	26192.0	24020.0	21083.5	17967.0	15871.0	13840.5	12147.0	11027.0	10460.0	10117.0	9536.5	9259.0	9302.0	8748.5	8653.0	9004.0	8642.0	8361.0	8250.0	7864.5	7133.5	6462.5	5865.0	5031.0	4207.5	3421.5	2760.5	2111.5	1524.0	1046.0	733.5	499.5	278.0	186.0	138.0	111.0	95.5	80.5	62.5	48.0	43.5	38.0	29.0	27.0	24.5	24.0	23.5	20.0	19.5
fastQC | 110	24.0	24.5	37.0	51.5	55.0	59.0	64.5	79.0	99.0	125.0	152.5	185.5	229.0	285.5	347.0	391.0	499.5	658.0	843.5	1076.0	1364.5	1799.0	2406.0	3207.5	4073.0	5145.0	6546.5	8191.5	10162.0	12035.5	14024.0	16058.0	17773.0	19678.5	21558.0	23120.0	24402.0	25391.0	26835.0	28262.0	28958.0	29961.0	31402.5	32145.5	31885.5	30941.0	29405.0	27479.0	24890.0	23001.5	21728.0	19717.0	18084.0	16841.5	15403.5	14170.5	13265.5	12521.0	11916.5	11974.0	12431.0	13072.0	14172.5	15740.0	17505.5	19187.0	21154.5	23063.0	24619.0	26039.5	27272.5	27413.0	26673.0	25279.0	23127.5	20178.5	16758.5	13574.5	10310.0	7476.5	5183.5	3407.0	2258.0	1392.5	806.0	477.0	298.0	203.5	140.5	85.5	56.0	45.0	40.0	33.0	23.0	16.5	14.0	14.0	18.0	20.5	20.5
fastQC | 111	39.0	39.5	40.0	40.0	40.0	49.0	65.5	80.0	94.5	105.0	125.0	169.0	204.0	215.5	243.0	303.0	407.5	548.5	689.0	840.5	1062.0	1436.0	1884.5	2406.5	3149.5	4033.0	4912.0	5923.5	7214.0	8586.5	9952.0	11232.0	12460.5	13975.5	15540.5	16742.0	18025.5	19360.5	20757.0	22177.5	23782.5	25504.5	27395.0	29312.0	30676.5	32522.0	34314.0	35702.0	37400.0	39556.5	41899.0	44479.0	47343.5	49941.0	52199.0	54409.5	55859.0	56702.5	57020.0	56078.5	54426.0	52161.5	49744.5	47239.5	44401.5	41743.5	38328.0	34698.5	31932.5	28836.0	25510.5	22274.5	19144.5	16050.0	13373.0	10872.5	8362.0	6436.5	4718.5	3272.0	2283.0	1625.5	1135.0	755.0	528.0	386.5	279.0	222.5	184.0	139.5	99.5	74.0	67.0	55.5	44.0	40.0	36.0	31.5	29.0	26.5	25.0
fastQC | 112	50.0	52.0	66.5	78.5	79.5	92.5	108.5	128.0	159.5	186.5	245.5	336.0	416.0	503.5	597.0	717.5	912.0	1148.5	1433.0	1857.5	2405.0	3051.5	3932.0	5180.5	6674.5	8342.0	10183.0	12222.0	14487.5	17135.5	19877.5	22665.0	25424.0	27661.5	30006.0	32343.0	34361.5	36445.5	38666.5	40961.0	43447.0	46418.0	49691.0	52406.0	54495.5	56508.0	57537.0	57422.0	57549.5	57755.5	57542.5	57216.0	57064.0	56966.0	55895.0	53920.5	52409.5	51037.5	49217.0	47608.5	46405.0	45044.5	43760.0	42432.5	41184.5	40266.5	39037.5	37848.5	36723.5	34957.5	33023.5	30897.0	28270.5	25612.5	22505.5	18894.5	15520.0	12604.5	9855.5	7419.5	5423.0	3745.5	2545.5	1693.0	1006.0	646.5	445.0	320.5	235.5	180.0	144.0	118.0	97.0	70.0	48.0	39.0	36.0	32.5	24.5	24.0	31.5
fastQC | 113	456.0	432.5	450.5	495.0	551.0	656.5	786.0	1003.5	1252.5	1437.0	1659.5	2124.5	2681.0	3249.5	3882.5	4654.0	5542.5	6795.0	8630.0	11122.0	14633.5	19003.0	24376.5	30878.5	38352.5	47519.0	58166.5	69668.5	82034.0	95981.5	110497.5	124171.5	137100.5	150047.5	160712.5	169821.5	179323.5	186016.0	192998.5	201569.5	206824.0	212197.5	221686.0	223821.5	221517.0	216768.5	206057.0	196692.0	184931.0	172457.5	161810.0	150204.5	141388.5	133558.0	124049.5	115444.0	108830.5	103974.0	98741.5	94373.5	91234.0	88177.0	83415.5	78622.0	74483.0	69888.5	67378.5	63547.0	58469.5	55130.5	50822.5	46511.0	42772.0	37874.0	32998.5	28018.5	23692.5	19960.0	15672.0	11853.0	8745.0	6242.0	4375.0	2894.0	1851.0	1372.0	1075.0	784.0	598.0	484.5	409.0	354.5	308.0	247.5	195.0	166.0	149.5	144.5	145.5	148.5	148.0
fastQC | 114	725.0	728.5	835.5	951.5	1015.0	1121.0	1292.0	1541.0	1929.5	2363.5	2836.5	3459.5	4090.5	5019.5	6118.0	7487.5	9262.5	11669.5	14793.5	18616.5	23858.5	31438.5	40488.5	50432.5	63501.5	79480.5	99369.5	120914.0	142400.5	167210.0	196383.5	227473.5	254428.0	282072.0	309987.0	335093.5	355816.0	377776.0	404620.5	430614.0	456008.0	480832.5	504557.5	526388.0	544627.5	543660.0	528678.5	513186.0	496217.0	484762.0	472119.0	454872.0	436103.0	417459.0	397217.5	376709.0	360166.0	341544.5	327171.0	318290.5	305896.0	294954.0	283961.5	267296.5	253053.0	239278.0	226705.5	213803.0	199655.0	185983.5	170439.0	154679.0	140067.5	125266.0	109921.5	94186.5	78789.5	64342.0	49684.0	38064.5	28189.0	19422.5	13435.0	9194.0	6006.5	4162.5	3032.5	2303.0	1784.5	1390.0	1140.5	972.0	844.5	724.5	596.5	515.0	479.0	461.0	417.5	395.0	431.0
fastQC | 115	459.0	429.0	454.0	543.5	623.0	685.5	774.5	929.0	1128.5	1412.0	1732.0	2144.0	2613.5	3158.5	3807.0	4402.5	5378.5	6848.0	8448.0	10501.5	13808.0	18290.0	23195.0	28884.0	35994.0	44584.0	55309.5	67685.0	81013.0	95475.5	110065.0	123546.0	137488.5	153775.0	167776.0	178340.0	187929.5	198599.0	211016.0	222093.5	231571.0	241849.5	251961.5	256007.5	257371.0	253515.0	242822.5	232322.0	220688.5	209488.5	198378.0	188695.0	178951.5	167461.0	158003.0	149069.0	140688.0	134857.0	131048.0	128043.0	125297.0	122397.0	120521.5	120483.0	119209.0	115307.5	113161.5	111529.5	107493.5	104531.0	100433.0	92337.0	83514.5	75249.0	66702.5	56363.0	46005.5	37324.0	29329.0	21905.5	15916.0	11126.0	7177.5	4685.0	3020.5	1978.5	1420.0	1089.0	827.5	661.5	582.0	522.0	466.0	387.0	296.5	265.0	262.0	256.5	223.0	180.0	178.0
