Sample	Unique Reads	Duplicate Reads
fastQC | 263	153181.0	2041690.0
fastQC | 264	301291.0	1848022.0
fastQC | 265	167952.0	2282736.0
fastQC | 266	249814.0	2550779.0
fastQC | 267	121088.0	1171601.0
fastQC | 268	186839.0	1240121.0
fastQC | 269	229366.0	1696660.0
fastQC | 27	473373.0	1190454.0
fastQC | 270	300681.0	2299213.0
fastQC | 271	260172.0	555698.0
fastQC | 272	236269.0	1593010.0
fastQC | 273	200918.0	1361839.0
fastQC | 274	175015.0	1401886.0
fastQC | 275	179780.0	1300217.0
fastQC | 276	208819.0	1292517.0
fastQC | 277	366970.0	2262246.0
fastQC | 278	309210.0	1781906.0
fastQC | 279	100063.0	924267.0
fastQC | 28	572205.0	1222608.0
fastQC | 280	418961.0	1951261.0
fastQC | 281	141741.0	1067608.0
fastQC | 282	198837.0	1295588.0
fastQC | 283	463095.0	3457380.0
fastQC | 284	927655.0	4953476.0
fastQC | 285	349946.0	2184663.0
fastQC | 286	338257.0	2664792.0
fastQC | 287	496196.0	3962558.0
fastQC | 288	492515.0	1142297.0
fastQC | 289	472282.0	3908864.0
fastQC | 29	669773.0	1228174.0
fastQC | 290	204992.0	2282836.0
fastQC | 291	1170979.0	6434711.0
fastQC | 292	605701.0	4080097.0
fastQC | 293	618310.0	3902324.0
fastQC | 294	1198004.0	3936946.0
fastQC | 295	559847.0	4063186.0
fastQC | 296	547088.0	3971570.0
fastQC | 297	586455.0	3722858.0
fastQC | 298	765843.0	5355202.0
fastQC | 299	355935.0	2700562.0
fastQC | 3	296557.0	889489.0
fastQC | 30	494232.0	1113786.0
fastQC | 300	270177.0	1973110.0
fastQC | 301	688535.0	5677459.0
fastQC | 302	419262.0	4463865.0
fastQC | 303	341122.0	2423957.0
fastQC | 304	379158.0	3449183.0
fastQC | 305	425264.0	3490721.0
fastQC | 306	555720.0	5047501.0
fastQC | 307	392235.0	2916932.0
fastQC | 308	353829.0	2479114.0
fastQC | 309	338931.0	2326383.0
fastQC | 31	589051.0	1075808.0
fastQC | 310	382491.0	3051481.0
fastQC | 311	385116.0	3079594.0
fastQC | 312	337397.0	2799710.0
fastQC | 313	408732.0	3202998.0
fastQC | 314	337409.0	2269947.0
fastQC | 315	390275.0	2712078.0
fastQC | 316	436035.0	2419580.0
fastQC | 317	440713.0	2453648.0
fastQC | 318	382741.0	2238293.0
fastQC | 319	531134.0	2930809.0
fastQC | 32	500959.0	1032356.0
fastQC | 320	475830.0	3040367.0
fastQC | 321	366973.0	2672903.0
fastQC | 322	356326.0	1981226.0
fastQC | 323	458314.0	3819356.0
fastQC | 324	491022.0	3684925.0
fastQC | 325	471056.0	3830764.0
fastQC | 326	557194.0	4621779.0
fastQC | 327	523253.0	4445332.0
fastQC | 328	450226.0	3793745.0
fastQC | 329	456088.0	3806503.0
fastQC | 33	610391.0	6107404.0
fastQC | 330	335028.0	2855975.0
fastQC | 34	266071.0	1269665.0
fastQC | 35	633694.0	1086087.0
fastQC | 36	302377.0	2265598.0
fastQC | 37	634536.0	6166638.0
fastQC | 38	587071.0	1281431.0
fastQC | 39	156976.0	978357.0
fastQC | 4	178254.0	805953.0
fastQC | 40	304604.0	1582435.0
fastQC | 41	429584.0	3637755.0
fastQC | 42	286688.0	1933763.0
fastQC | 43	278732.0	1656657.0
fastQC | 44	372553.0	2770149.0
fastQC | 45	425877.0	3509305.0
fastQC | 46	117058.0	731548.0
fastQC | 47	298105.0	2192049.0
fastQC | 48	337958.0	2405260.0
fastQC | 49	676471.0	4866528.0
fastQC | 5	393152.0	1119206.0
fastQC | 50	630892.0	4288605.0
fastQC | 51	732778.0	5354829.0
fastQC | 52	1342991.0	12760129.0
fastQC | 53	438024.0	2747245.0
fastQC | 54	768378.0	5310101.0
